transaction_id,merchant,customer_id,timestamp,amount_inr,currency,method,status,failure_reason,retryable,historical_recovered
TXN-000001,EduPrime,CUST-06913,2026-08-28T12:50,1168.2,INR,upi,failed,expired_card,false,false
TXN-000002,UrbanKart,CUST-07360,2026-07-04T05:25,1814.5,INR,wallet,success,,false,false
TXN-000003,UrbanKart,CUST-03528,2026-08-23T23:16,2820.41,INR,netbanking,success,,false,false
TXN-000004,EduPrime,CUST-04334,2026-07-31T23:18,706.33,INR,netbanking,success,,false,false
TXN-000005,NovaMart,CUST-09045,2026-07-05T06:55,3706.59,INR,wallet,success,,false,false
TXN-000006,NovaMart,CUST-00751,2026-07-28T00:27,6340.31,INR,card,success,,false,false
TXN-000007,FitSpace,CUST-05978,2026-08-30T12:33,1029.86,INR,upi,failed,insufficient_funds,true,false
TXN-000008,EduPrime,CUST-02804,2026-07-16T03:19,1416.68,INR,upi,success,,false,false
TXN-000009,CloudKitchen,CUST-00917,2026-08-18T22:50,2683.59,INR,card,success,,false,false
TXN-000010,UrbanKart,CUST-08180,2026-07-22T04:21,1542.57,INR,netbanking,success,,false,false
TXN-000011,FitSpace,CUST-09561,2026-08-06T08:16,8657.34,INR,netbanking,failed,insufficient_funds,true,false
TXN-000012,UrbanKart,CUST-02622,2026-08-06T16:30,635.41,INR,upi,success,,false,false
TXN-000013,EduPrime,CUST-04120,2026-09-01T06:32,1594.53,INR,wallet,success,,false,false
TXN-000014,CloudKitchen,CUST-01828,2026-08-20T16:32,4948.04,INR,netbanking,success,,false,false
TXN-000015,EduPrime,CUST-02928,2026-07-28T01:09,1512.33,INR,netbanking,success,,false,false
TXN-000016,CloudKitchen,CUST-02647,2026-08-16T13:02,797.52,INR,card,success,,false,false
TXN-000017,CloudKitchen,CUST-05039,2026-08-19T10:17,8243.2,INR,upi,success,,false,false
TXN-000018,UrbanKart,CUST-07788,2026-07-23T03:05,1760.92,INR,card,success,,false,false
TXN-000019,EduPrime,CUST-03296,2026-08-20T09:03,640.15,INR,card,success,,false,false
TXN-000020,UrbanKart,CUST-03682,2026-09-04T05:27,2655.78,INR,upi,success,,false,false
TXN-000021,NovaMart,CUST-01164,2026-07-07T03:52,1014.39,INR,card,success,,false,false
TXN-000022,NovaMart,CUST-08424,2026-09-03T18:18,2306.48,INR,netbanking,success,,false,false
TXN-000023,UrbanKart,CUST-07750,2026-07-22T23:55,960.84,INR,wallet,success,,false,false
TXN-000024,FitSpace,CUST-07652,2026-08-07T09:14,1091.86,INR,wallet,success,,false,false
TXN-000025,UrbanKart,CUST-03140,2026-07-06T06:20,675.38,INR,upi,success,,false,false
TXN-000026,EduPrime,CUST-01605,2026-07-18T15:31,1914.25,INR,upi,failed,network_error,true,true
TXN-000027,FitSpace,CUST-07887,2026-07-05T22:30,2917.43,INR,card,failed,insufficient_funds,true,true
TXN-000028,FitSpace,CUST-09106,2026-07-20T18:56,204.6,INR,netbanking,success,,false,false
TXN-000029,EduPrime,CUST-08884,2026-08-30T13:52,2623.73,INR,upi,success,,false,false
TXN-000030,NovaMart,CUST-08321,2026-07-06T21:09,2641.4,INR,card,success,,false,false
TXN-000031,EduPrime,CUST-01344,2026-07-08T15:00,162.89,INR,upi,success,,false,false
TXN-000032,UrbanKart,CUST-05148,2026-08-08T11:48,3051.41,INR,netbanking,success,,false,false
TXN-000033,CloudKitchen,CUST-01189,2026-07-23T01:25,1214.75,INR,wallet,success,,false,false
TXN-000034,UrbanKart,CUST-06055,2026-07-02T04:20,1018.72,INR,upi,success,,false,false
TXN-000035,EduPrime,CUST-04906,2026-07-27T06:33,3865.55,INR,upi,success,,false,false
TXN-000036,CloudKitchen,CUST-03336,2026-08-30T17:11,2735.58,INR,card,success,,false,false
TXN-000037,NovaMart,CUST-06940,2026-09-01T21:51,2348.41,INR,upi,success,,false,false
TXN-000038,FitSpace,CUST-09039,2026-07-26T12:25,663.81,INR,card,failed,unknown,false,false
TXN-000039,CloudKitchen,CUST-09544,2026-09-03T13:33,1618.19,INR,card,failed,temporary_bank_issue,true,false
TXN-000040,CloudKitchen,CUST-03442,2026-08-20T15:00,999.69,INR,upi,success,,false,false
TXN-000041,EduPrime,CUST-02533,2026-09-01T09:59,1198.06,INR,wallet,success,,false,false
TXN-000042,FitSpace,CUST-00635,2026-07-22T21:09,3339.48,INR,upi,success,,false,false
TXN-000043,UrbanKart,CUST-03653,2026-08-13T04:14,198.1,INR,netbanking,success,,false,false
TXN-000044,CloudKitchen,CUST-05754,2026-07-03T11:41,2653.1,INR,upi,success,,false,false
TXN-000045,NovaMart,CUST-01890,2026-08-28T17:20,1878.7,INR,netbanking,success,,false,false
TXN-000046,FitSpace,CUST-09933,2026-07-25T02:37,1226.55,INR,netbanking,success,,false,false
TXN-000047,CloudKitchen,CUST-07067,2026-08-16T21:13,1482.26,INR,card,success,,false,false
TXN-000048,CloudKitchen,CUST-06593,2026-07-07T16:51,3068.82,INR,netbanking,failed,temporary_bank_issue,true,false
TXN-000049,UrbanKart,CUST-09325,2026-09-02T19:04,1279.35,INR,wallet,success,,false,false
TXN-000050,FitSpace,CUST-09503,2026-07-28T17:26,789.85,INR,card,success,,false,false
TXN-000051,EduPrime,CUST-07753,2026-08-25T13:16,2744.07,INR,card,success,,false,false
TXN-000052,NovaMart,CUST-03849,2026-07-16T18:41,2487.32,INR,netbanking,success,,false,false
TXN-000053,NovaMart,CUST-07462,2026-08-31T13:44,431.13,INR,wallet,failed,insufficient_funds,true,false
TXN-000054,FitSpace,CUST-06548,2026-08-08T01:21,6785.16,INR,wallet,success,,false,false
TXN-000055,FitSpace,CUST-03586,2026-07-23T12:59,347.37,INR,upi,success,,false,false
TXN-000056,NovaMart,CUST-07479,2026-07-17T08:13,7737.58,INR,card,success,,false,false
TXN-000057,FitSpace,CUST-08271,2026-07-13T11:17,6752.93,INR,netbanking,success,,false,false
TXN-000058,FitSpace,CUST-04247,2026-08-09T04:13,5227.51,INR,wallet,success,,false,false
TXN-000059,UrbanKart,CUST-04500,2026-07-23T20:06,3573.49,INR,wallet,success,,false,false
TXN-000060,EduPrime,CUST-01321,2026-08-10T08:54,759.73,INR,netbanking,success,,false,false
TXN-000061,EduPrime,CUST-07634,2026-07-13T22:16,788.62,INR,wallet,failed,insufficient_funds,true,false
TXN-000062,EduPrime,CUST-06233,2026-08-08T04:16,893.77,INR,upi,success,,false,false
TXN-000063,EduPrime,CUST-08948,2026-08-13T17:58,592.33,INR,wallet,success,,false,false
TXN-000064,NovaMart,CUST-06372,2026-08-25T05:49,5591.68,INR,wallet,success,,false,false
TXN-000065,UrbanKart,CUST-08752,2026-07-31T22:17,6096.48,INR,wallet,success,,false,false
TXN-000066,FitSpace,CUST-02224,2026-07-03T18:54,7704.27,INR,upi,success,,false,false
TXN-000067,CloudKitchen,CUST-05530,2026-08-12T08:35,961.26,INR,wallet,success,,false,false
TXN-000068,CloudKitchen,CUST-03674,2026-08-04T20:12,900.31,INR,upi,success,,false,false
TXN-000069,UrbanKart,CUST-07759,2026-08-29T12:15,181.89,INR,card,success,,false,false
TXN-000070,UrbanKart,CUST-05097,2026-08-31T06:27,1680.74,INR,upi,success,,false,false
TXN-000071,FitSpace,CUST-03250,2026-07-11T04:08,9036.3,INR,wallet,success,,false,false
TXN-000072,EduPrime,CUST-01984,2026-07-08T06:01,3976.63,INR,netbanking,success,,false,false
TXN-000073,NovaMart,CUST-08290,2026-08-21T20:17,3384.24,INR,netbanking,success,,false,false
TXN-000074,FitSpace,CUST-05935,2026-08-29T06:34,386.24,INR,upi,success,,false,false
TXN-000075,EduPrime,CUST-07922,2026-08-28T04:27,5179.32,INR,netbanking,failed,insufficient_funds,true,false
TXN-000076,NovaMart,CUST-04570,2026-08-12T15:31,1269.36,INR,card,success,,false,false
TXN-000077,CloudKitchen,CUST-00471,2026-08-11T08:47,895.87,INR,wallet,success,,false,false
TXN-000078,CloudKitchen,CUST-04582,2026-08-15T07:49,3364.52,INR,netbanking,success,,false,false
TXN-000079,FitSpace,CUST-08005,2026-08-24T14:19,2699.69,INR,upi,failed,temporary_bank_issue,true,true
TXN-000080,FitSpace,CUST-00283,2026-08-20T20:48,6077.24,INR,wallet,success,,false,false
TXN-000081,FitSpace,CUST-09069,2026-07-09T19:16,1087.65,INR,netbanking,success,,false,false
TXN-000082,CloudKitchen,CUST-03778,2026-08-18T15:48,2016.06,INR,netbanking,success,,false,false
TXN-000083,UrbanKart,CUST-03546,2026-07-12T07:34,2884.13,INR,card,success,,false,false
TXN-000084,NovaMart,CUST-03181,2026-08-14T09:44,813.58,INR,netbanking,success,,false,false
TXN-000085,NovaMart,CUST-09067,2026-07-28T07:09,1109.05,INR,netbanking,failed,network_error,true,true
TXN-000086,NovaMart,CUST-00201,2026-07-27T22:10,2502.44,INR,wallet,success,,false,false
TXN-000087,CloudKitchen,CUST-07828,2026-08-22T14:03,984.64,INR,upi,success,,false,false
TXN-000088,UrbanKart,CUST-02445,2026-07-11T17:13,3941.49,INR,upi,failed,limit_exceeded,false,false
TXN-000089,EduPrime,CUST-06233,2026-08-21T13:32,784.2,INR,card,success,,false,false
TXN-000090,CloudKitchen,CUST-09317,2026-08-11T08:09,4201.97,INR,wallet,success,,false,false
TXN-000091,FitSpace,CUST-07382,2026-08-26T20:39,2308.69,INR,upi,failed,insufficient_funds,true,true
TXN-000092,FitSpace,CUST-01167,2026-09-02T01:57,2183.21,INR,netbanking,success,,false,false
TXN-000093,FitSpace,CUST-01881,2026-09-01T21:36,1061.02,INR,card,success,,false,false
TXN-000094,NovaMart,CUST-00978,2026-08-19T21:36,1123.28,INR,card,success,,false,false
TXN-000095,FitSpace,CUST-02038,2026-07-16T10:27,5162.95,INR,netbanking,success,,false,false
TXN-000096,FitSpace,CUST-01318,2026-08-12T23:53,4499.98,INR,wallet,success,,false,false
TXN-000097,NovaMart,CUST-01497,2026-08-24T18:25,552.35,INR,netbanking,success,,false,false
TXN-000098,EduPrime,CUST-00660,2026-07-22T04:05,16708.71,INR,netbanking,success,,false,false
TXN-000099,EduPrime,CUST-07142,2026-07-17T06:42,1590.98,INR,card,success,,false,false
TXN-000100,UrbanKart,CUST-05404,2026-08-28T02:42,1671.75,INR,upi,success,,false,false
TXN-000101,FitSpace,CUST-01443,2026-08-07T19:15,2676.63,INR,upi,success,,false,false
TXN-000102,EduPrime,CUST-07570,2026-07-29T23:04,1196.49,INR,upi,success,,false,false
TXN-000103,FitSpace,CUST-00846,2026-08-07T22:45,466.68,INR,wallet,success,,false,false
TXN-000104,NovaMart,CUST-00473,2026-07-19T20:40,1217.62,INR,wallet,success,,false,false
TXN-000105,NovaMart,CUST-07561,2026-08-27T16:18,2217.73,INR,wallet,failed,network_error,true,true
TXN-000106,EduPrime,CUST-04480,2026-07-12T00:36,2321.88,INR,netbanking,success,,false,false
TXN-000107,NovaMart,CUST-04527,2026-08-08T03:39,782.72,INR,card,success,,false,false
TXN-000108,CloudKitchen,CUST-04892,2026-08-08T02:27,599.22,INR,upi,success,,false,false
TXN-000109,EduPrime,CUST-07936,2026-08-23T18:11,2535.79,INR,wallet,success,,false,false
TXN-000110,UrbanKart,CUST-03913,2026-08-01T17:56,642.36,INR,netbanking,success,,false,false
TXN-000111,FitSpace,CUST-06247,2026-08-22T09:06,550.24,INR,netbanking,success,,false,false
TXN-000112,EduPrime,CUST-09670,2026-08-05T11:24,2337.84,INR,card,success,,false,false
TXN-000113,FitSpace,CUST-02530,2026-07-31T13:15,1498.05,INR,card,success,,false,false
TXN-000114,NovaMart,CUST-05384,2026-07-08T03:27,424.51,INR,wallet,success,,false,false
TXN-000115,EduPrime,CUST-00589,2026-08-31T17:09,4191.04,INR,wallet,success,,false,false
TXN-000116,FitSpace,CUST-02726,2026-08-26T12:51,3399.08,INR,upi,failed,limit_exceeded,false,false
TXN-000117,UrbanKart,CUST-04001,2026-09-02T12:04,1372.27,INR,wallet,success,,false,false
